# Name	EventId	Message (English, named {placeholders})
# ============================ Smb (4000-4999) ============================
# -- server lifecycle 4000-4099 --
StorageWalkTruncated	2002	Directory walk below {Path} was truncated ({Skipped} entries skipped: links, depth limit, or access errors).
# -- database init 2200-2299 --
DatabaseReady	2201	Database ready.
DatabaseNotReadyRetry	2202	Database not ready, retrying in 3s ({RemainingAttempts} attempts left).
# -- dynamic log-level config 2300-2399 --
LogLevelApplied	2301	Global log level set to {Level}.
LogLevelReloadFailed	2302	Failed to reload the global log level from the config store.
# -- database seeder 2100-2199 --
SeedBootstrapAdminSkipped	2101	Users already present, skipping bootstrap admin.
SeedAdminRoleMissing	2102	Administrator role missing, cannot seed bootstrap admin.
SeedBootstrapAdminPassword	2103	Bootstrap admin created (user 'admin'). Generated one-time password: {Password}. Change it immediately; this password will NOT be shown again.
SeedBootstrapAdminCreated	2104	Bootstrap admin 'admin' created with the configured password.
SeedGlobalDepartmentCreated	2105	Global department created (Id: {Id}).
SeedRoleUpdated	2106	Role '{Name}' updated -> {Perms}
SeedRoleCreated	2107	Role '{Name}' created (permissions: {Perms})
SeedGroupCreated	2108	Group '{Name}' created (department: Global)
SeedDepartmentsCreated	2109	Departments created: Entwicklung (-> Backend, Frontend), Marketing, Geschaeftsleitung.
SeedTestUsersSkipped	2110	Users already present, skipping test users.
SeedTestUsersCreating	2111	Creating test users...
SeedConfigEntries	2112	Config entries seeded.
SeedTestUserSummary	2113	Test users created: admin, marco.hanisch, anna.weber, lisa.mueller (password '1234', admin 'admin1234').
SeedDuplicateRolesRemoved	2114	Removed {Count} duplicate role(s) named '{Name}'.
SeedDuplicateGroupsRemoved	2115	Removed {Count} duplicate group(s) named '{Name}'.
# ============================ Host (6000-6999) ============================
# -- data service reconciler 6100-6199 --
ReconcilerStarted	6101	Data service reconciler started ({Count} services).
ReconcileRunFailed	6102	Reconcile run failed.
ReconcileStopFailed	6103	Failed to stop service '{Key}' during shutdown.
ServiceStarting	6104	Starting data service '{Key}'.
ServiceStopping	6105	Stopping data service '{Key}'.
# ============================ Search (3000-3999) ============================
# -- search router 3200-3299 --
SearchFlagReadFailed	3201	Could not read the Elasticsearch flag, assuming enabled.
SearchElasticFailed	3202	Elasticsearch search failed, falling back to filename search.
SearchElasticUnreachable	3203	Elasticsearch not reachable, search running in filename mode.
SearchElasticDisabled	3204	Elasticsearch disabled, search running in filename mode.
SearchReindexFailed	3205	Reindex failed.
# ============================ Web (5000-5999) ============================
# -- AclEditor 5600-5699 --
AclEditorLoadData	5601	AclEditor.LoadDataAsync Path='{Path}', ShareId={ShareId}
AclEditorNoPath	5602	AclEditor: path is null, aborting.
AclEditorNoShareId	5603	AclEditor: shareId is empty, aborting.
AclEditorLoading	5604	AclEditor: loading {Path} (share {ShareId}, isDirectory {IsDirectory}).
AclEditorLoaded	5605	AclEditor: loaded={Loaded}, entries={Entries}, inherited={Inherited}.
AclEditorLoadFailed	5606	AclEditor: load failed: {Error}
AclEditorException	5607	AclEditor: unhandled exception while loading ACL.
